Annotation source,Category/term pathway,Functional group,Gene count,Representative genes/proteins in B13
COG,Multiple COG,Functional mechanisms,4,KOPMJODN_00637; KOPMJODN_03175; KOPMJODN_03307; KOPMJODN_03308
COG,[P] Inorganic ion transport and metabolism,Functional mechanisms,224,KOPMJODN_00008; KOPMJODN_00010; KOPMJODN_00019; KOPMJODN_00023; KOPMJODN_00026; KOPMJODN_00072; KOPMJODN_00133; KOPMJODN_00136; KOPMJODN_00164; KOPMJODN_00270; KOPMJODN_00291; KOPMJODN_00292; KOPMJODN_00317; KOPMJODN_00322; KOPMJODN_00332; KOPMJODN_00344; KOPMJODN_00377; KOPMJODN_00409; KOPMJODN_00416; KOPMJODN_00417; KOPMJODN_00419; KOPMJODN_00420; KOPMJODN_00421; KOPMJODN_00422; KOPMJODN_00423; KOPMJODN_00438; KOPMJODN_00442; KOPMJODN_00462; KOPMJODN_00500; KOPMJODN_00585; KOPMJODN_00779; KOPMJODN_00829; KOPMJODN_00831; KOPMJODN_00837; KOPMJODN_00872; KOPMJODN_00888; KOPMJODN_01010; KOPMJODN_01024; KOPMJODN_01025; KOPMJODN_01070; KOPMJODN_01187; KOPMJODN_01192; KOPMJODN_01193; KOPMJODN_01194; KOPMJODN_01219; KOPMJODN_01300; KOPMJODN_01301; KOPMJODN_01344; KOPMJODN_01363; KOPMJODN_01398; KOPMJODN_01404; KOPMJODN_01413; KOPMJODN_01417; KOPMJODN_01418; KOPMJODN_01423; KOPMJODN_01435; KOPMJODN_01436; KOPMJODN_01446; KOPMJODN_01447; KOPMJODN_01448; KOPMJODN_01450; KOPMJODN_01457; KOPMJODN_01458; KOPMJODN_01511; KOPMJODN_01537; KOPMJODN_01661; KOPMJODN_01681; KOPMJODN_01691; KOPMJODN_01730; KOPMJODN_01744; KOPMJODN_01754; KOPMJODN_01755; KOPMJODN_01757; KOPMJODN_01758; KOPMJODN_01759; KOPMJODN_01786; KOPMJODN_01787; KOPMJODN_01788; KOPMJODN_01845; KOPMJODN_01846; KOPMJODN_01880; KOPMJODN_01917; KOPMJODN_01960; KOPMJODN_01962; KOPMJODN_01964; KOPMJODN_01994; KOPMJODN_01995; KOPMJODN_02004; KOPMJODN_02081; KOPMJODN_02085; KOPMJODN_02129; KOPMJODN_02130; KOPMJODN_02134; KOPMJODN_02139; KOPMJODN_02203; KOPMJODN_02205; KOPMJODN_02208; KOPMJODN_02210; KOPMJODN_02231; KOPMJODN_02240; KOPMJODN_02241; KOPMJODN_02242; KOPMJODN_02248; KOPMJODN_02249; KOPMJODN_02250; KOPMJODN_02258; KOPMJODN_02259; KOPMJODN_02260; KOPMJODN_02266; KOPMJODN_02267; KOPMJODN_02268; KOPMJODN_02269; KOPMJODN_02279; KOPMJODN_02280; KOPMJODN_02281; KOPMJODN_02283; KOPMJODN_02300; KOPMJODN_02304; KOPMJODN_02309; KOPMJODN_02317; KOPMJODN_02323; KOPMJODN_02324; KOPMJODN_02325; KOPMJODN_02346; KOPMJODN_02349; KOPMJODN_02404; KOPMJODN_02450; KOPMJODN_02451; KOPMJODN_02452; KOPMJODN_02453; KOPMJODN_02454; KOPMJODN_02455; KOPMJODN_02456; KOPMJODN_02467; KOPMJODN_02485; KOPMJODN_02514; KOPMJODN_02529; KOPMJODN_02532; KOPMJODN_02533; KOPMJODN_02534; KOPMJODN_02536; KOPMJODN_02552; KOPMJODN_02567; KOPMJODN_02582; KOPMJODN_02583; KOPMJODN_02595; KOPMJODN_02651; KOPMJODN_02663; KOPMJODN_02667; KOPMJODN_02668; KOPMJODN_02672; KOPMJODN_02690; KOPMJODN_02707; KOPMJODN_02717; KOPMJODN_02728; KOPMJODN_02729; KOPMJODN_02730; KOPMJODN_02731; KOPMJODN_02732; KOPMJODN_02740; KOPMJODN_02743; KOPMJODN_02744; KOPMJODN_02760; KOPMJODN_02780; KOPMJODN_02798; KOPMJODN_02805; KOPMJODN_02807; KOPMJODN_02808; KOPMJODN_02810; KOPMJODN_02815; KOPMJODN_02816; KOPMJODN_02817; KOPMJODN_02830; KOPMJODN_02835; KOPMJODN_02842; KOPMJODN_02908; KOPMJODN_02909; KOPMJODN_02910; KOPMJODN_02913; KOPMJODN_02930; KOPMJODN_02931; KOPMJODN_02932; KOPMJODN_02934; KOPMJODN_02936; KOPMJODN_02938; KOPMJODN_02957; KOPMJODN_02995; KOPMJODN_03010; KOPMJODN_03036; KOPMJODN_03037; KOPMJODN_03042; KOPMJODN_03079; KOPMJODN_03102; KOPMJODN_03159; KOPMJODN_03162; KOPMJODN_03163; KOPMJODN_03167; KOPMJODN_03168; KOPMJODN_03169; KOPMJODN_03174; KOPMJODN_03188; KOPMJODN_03216; KOPMJODN_03278; KOPMJODN_03353; KOPMJODN_03359; KOPMJODN_03360; KOPMJODN_03368; KOPMJODN_03395; KOPMJODN_03405; KOPMJODN_03423; KOPMJODN_03488; KOPMJODN_03489; KOPMJODN_03490; KOPMJODN_03560; KOPMJODN_03565; KOPMJODN_03573; KOPMJODN_03581; KOPMJODN_03612; KOPMJODN_03619; KOPMJODN_03633; KOPMJODN_03634; KOPMJODN_03635; KOPMJODN_03638; KOPMJODN_03643
COG,[T] Signal transduction mechanisms,Functional mechanisms,145,KOPMJODN_00014; KOPMJODN_00015; KOPMJODN_00020; KOPMJODN_00084; KOPMJODN_00085; KOPMJODN_00129; KOPMJODN_00130; KOPMJODN_00147; KOPMJODN_00148; KOPMJODN_00167; KOPMJODN_00170; KOPMJODN_00246; KOPMJODN_00274; KOPMJODN_00293; KOPMJODN_00385; KOPMJODN_00440; KOPMJODN_00493; KOPMJODN_00511; KOPMJODN_00521; KOPMJODN_00591; KOPMJODN_00624; KOPMJODN_00625; KOPMJODN_00664; KOPMJODN_00823; KOPMJODN_00847; KOPMJODN_00903; KOPMJODN_00955; KOPMJODN_00991; KOPMJODN_01107; KOPMJODN_01108; KOPMJODN_01109; KOPMJODN_01110; KOPMJODN_01111; KOPMJODN_01120; KOPMJODN_01175; KOPMJODN_01176; KOPMJODN_01209; KOPMJODN_01245; KOPMJODN_01255; KOPMJODN_01269; KOPMJODN_01273; KOPMJODN_01302; KOPMJODN_01311; KOPMJODN_01339; KOPMJODN_01346; KOPMJODN_01349; KOPMJODN_01353; KOPMJODN_01382; KOPMJODN_01394; KOPMJODN_01406; KOPMJODN_01419; KOPMJODN_01422; KOPMJODN_01520; KOPMJODN_01603; KOPMJODN_01605; KOPMJODN_01621; KOPMJODN_01622; KOPMJODN_01627; KOPMJODN_01628; KOPMJODN_01630; KOPMJODN_01668; KOPMJODN_01669; KOPMJODN_01686; KOPMJODN_01687; KOPMJODN_01707; KOPMJODN_01732; KOPMJODN_01743; KOPMJODN_01762; KOPMJODN_01839; KOPMJODN_01840; KOPMJODN_01883; KOPMJODN_01898; KOPMJODN_01918; KOPMJODN_02009; KOPMJODN_02055; KOPMJODN_02056; KOPMJODN_02068; KOPMJODN_02087; KOPMJODN_02094; KOPMJODN_02116; KOPMJODN_02117; KOPMJODN_02215; KOPMJODN_02229; KOPMJODN_02256; KOPMJODN_02275; KOPMJODN_02276; KOPMJODN_02285; KOPMJODN_02288; KOPMJODN_02289; KOPMJODN_02297; KOPMJODN_02298; KOPMJODN_02371; KOPMJODN_02426; KOPMJODN_02442; KOPMJODN_02447; KOPMJODN_02462; KOPMJODN_02463; KOPMJODN_02470; KOPMJODN_02496; KOPMJODN_02497; KOPMJODN_02498; KOPMJODN_02499; KOPMJODN_02560; KOPMJODN_02569; KOPMJODN_02570; KOPMJODN_02631; KOPMJODN_02634; KOPMJODN_02635; KOPMJODN_02636; KOPMJODN_02637; KOPMJODN_02638; KOPMJODN_02660; KOPMJODN_02661; KOPMJODN_02686; KOPMJODN_02737; KOPMJODN_02738; KOPMJODN_02759; KOPMJODN_02783; KOPMJODN_02811; KOPMJODN_02812; KOPMJODN_02813; KOPMJODN_02845; KOPMJODN_02846; KOPMJODN_02877; KOPMJODN_02878; KOPMJODN_02953; KOPMJODN_02967; KOPMJODN_02986; KOPMJODN_03021; KOPMJODN_03084; KOPMJODN_03187; KOPMJODN_03299; KOPMJODN_03326; KOPMJODN_03327; KOPMJODN_03355; KOPMJODN_03392; KOPMJODN_03407; KOPMJODN_03518; KOPMJODN_03520; KOPMJODN_03546; KOPMJODN_03578; KOPMJODN_03606; KOPMJODN_03641; KOPMJODN_03654; KOPMJODN_03655
COG,"[O] Post-translational modification, protein turnover, chaperones",Functional mechanisms,96,KOPMJODN_00052; KOPMJODN_00059; KOPMJODN_00096; KOPMJODN_00100; KOPMJODN_00188; KOPMJODN_00216; KOPMJODN_00217; KOPMJODN_00218; KOPMJODN_00222; KOPMJODN_00232; KOPMJODN_00302; KOPMJODN_00303; KOPMJODN_00371; KOPMJODN_00372; KOPMJODN_00373; KOPMJODN_00380; KOPMJODN_00603; KOPMJODN_00604; KOPMJODN_00621; KOPMJODN_00622; KOPMJODN_00623; KOPMJODN_00639; KOPMJODN_00713; KOPMJODN_00751; KOPMJODN_00769; KOPMJODN_00770; KOPMJODN_00844; KOPMJODN_00948; KOPMJODN_00952; KOPMJODN_00954; KOPMJODN_00956; KOPMJODN_00967; KOPMJODN_01004; KOPMJODN_01012; KOPMJODN_01026; KOPMJODN_01029; KOPMJODN_01074; KOPMJODN_01137; KOPMJODN_01138; KOPMJODN_01223; KOPMJODN_01262; KOPMJODN_01263; KOPMJODN_01288; KOPMJODN_01326; KOPMJODN_01364; KOPMJODN_01378; KOPMJODN_01399; KOPMJODN_01420; KOPMJODN_01429; KOPMJODN_01431; KOPMJODN_01451; KOPMJODN_01584; KOPMJODN_01626; KOPMJODN_01650; KOPMJODN_01657; KOPMJODN_01658; KOPMJODN_01672; KOPMJODN_01776; KOPMJODN_01812; KOPMJODN_01876; KOPMJODN_01877; KOPMJODN_02063; KOPMJODN_02084; KOPMJODN_02137; KOPMJODN_02223; KOPMJODN_02235; KOPMJODN_02243; KOPMJODN_02244; KOPMJODN_02299; KOPMJODN_02321; KOPMJODN_02327; KOPMJODN_02328; KOPMJODN_02331; KOPMJODN_02361; KOPMJODN_02389; KOPMJODN_02521; KOPMJODN_02603; KOPMJODN_02650; KOPMJODN_02832; KOPMJODN_02838; KOPMJODN_03077; KOPMJODN_03078; KOPMJODN_03158; KOPMJODN_03310; KOPMJODN_03311; KOPMJODN_03319; KOPMJODN_03321; KOPMJODN_03342; KOPMJODN_03388; KOPMJODN_03422; KOPMJODN_03430; KOPMJODN_03431; KOPMJODN_03512; KOPMJODN_03513; KOPMJODN_03515; KOPMJODN_03748
COG,[V] Defense mechanisms,Functional mechanisms,53,KOPMJODN_00012; KOPMJODN_00013; KOPMJODN_00016; KOPMJODN_00017; KOPMJODN_00036; KOPMJODN_00824; KOPMJODN_00852; KOPMJODN_00894; KOPMJODN_01058; KOPMJODN_01314; KOPMJODN_01315; KOPMJODN_01444; KOPMJODN_01539; KOPMJODN_01645; KOPMJODN_01688; KOPMJODN_01689; KOPMJODN_01749; KOPMJODN_01750; KOPMJODN_01836; KOPMJODN_01858; KOPMJODN_01890; KOPMJODN_02114; KOPMJODN_02211; KOPMJODN_02253; KOPMJODN_02254; KOPMJODN_02255; KOPMJODN_02403; KOPMJODN_02503; KOPMJODN_02539; KOPMJODN_02657; KOPMJODN_02739; KOPMJODN_02874; KOPMJODN_02875; KOPMJODN_02876; KOPMJODN_02888; KOPMJODN_02904; KOPMJODN_02956; KOPMJODN_02962; KOPMJODN_02963; KOPMJODN_03022; KOPMJODN_03023; KOPMJODN_03056; KOPMJODN_03110; KOPMJODN_03123; KOPMJODN_03212; KOPMJODN_03231; KOPMJODN_03232; KOPMJODN_03236; KOPMJODN_03384; KOPMJODN_03385; KOPMJODN_03419; KOPMJODN_03595; KOPMJODN_03596
